Application_ID,Applicant_name,Father_name,Mother_name,Gender,DOB,Category_Caste,10th_marks,10th_passing_year,Education_Type,12th_Diploma_marks,12th_passing_year,CET_percentile,CET_Scorecard_PDF,10th_Marksheet_PDF,12th_Diploma_Marksheet_PDF,Leaving_Certificate_PDF,Caste_Certificate_PDF,Application_Form_PDF
APP0019,Sanya Kale,Veer Kale,Hiral Kale,Female,2005-04-23,OPEN,84.19,2018,12th,87.41,2020,79.25,APP0019_CET_Scorecard.pdf,APP0019_10th_Marksheet.pdf,APP0019_12th_Diploma_Marksheet.pdf,APP0019_Leaving_Certificate.pdf,APP0019_Caste_Certificate.pdf,APP0019_Application_Form.pdf
APP0020,Joshua Raju,Chakradhar Raju,Aradhana Raju,Male,2006-11-18,OBC,80.52,2019,12th,63.49,2022,75.18,APP0020_CET_Scorecard.pdf,APP0020_10th_Marksheet.pdf,APP0020_12th_Diploma_Marksheet.pdf,APP0020_Leaving_Certificate.pdf,APP0020_Caste_Certificate.pdf,APP0020_Application_Form.pdf
APP0021,Widisha Bajaj,Abhimanyu Bajaj,Chakrika Bajaj,Female,2004-05-06,OPEN,76.51,2020,12th,93.78,2022,70.82,APP0021_CET_Scorecard.pdf,APP0021_10th_Marksheet.pdf,APP0021_12th_Diploma_Marksheet.pdf,APP0021_Leaving_Certificate.pdf,APP0021_Caste_Certificate.pdf,APP0021_Application_Form.pdf
APP0022,Pallavi Rana,Brijesh Rana,Edhitha Rana,Female,2007-03-20,OPEN,72.32,2019,Diploma,84.25,2020,97.31,APP0022_CET_Scorecard.pdf,APP0022_10th_Marksheet.pdf,APP0022_12th_Diploma_Marksheet.pdf,APP0022_Leaving_Certificate.pdf,APP0022_Caste_Certificate.pdf,APP0022_Application_Form.pdf
APP0023,Abha Basak,Chandran Basak,Ekani Basak,Female,2003-11-07,OPEN,61.51,2019,12th,75.05,2021,80.58,APP0023_CET_Scorecard.pdf,APP0023_10th_Marksheet.pdf,APP0023_12th_Diploma_Marksheet.pdf,APP0023_Leaving_Certificate.pdf,APP0023_Caste_Certificate.pdf,APP0023_Application_Form.pdf
APP0024,Zashil Lad,Zayyan Lad,Sachi Lad,Male,2003-03-26,SC/ST,70.6,2018,Diploma,70.34,2022,62.94,APP0024_CET_Scorecard.pdf,APP0024_10th_Marksheet.pdf,APP0024_12th_Diploma_Marksheet.pdf,APP0024_Leaving_Certificate.pdf,APP0024_Caste_Certificate.pdf,APP0024_Application_Form.pdf
APP0025,Max Yogi,Gopal Yogi,Neha Yogi,Male,2003-03-25,OPEN,83.71,2020,12th,76.4,2022,86.09,APP0025_CET_Scorecard.pdf,APP0025_10th_Marksheet.pdf,APP0025_12th_Diploma_Marksheet.pdf,APP0025_Leaving_Certificate.pdf,APP0025_Caste_Certificate.pdf,APP0025_Application_Form.pdf
APP0026,Karan Shenoy,Rudra Shenoy,Xalak Shenoy,Male,2007-10-25,EWS,90.83,2019,Diploma,93.33,2022,95.5,APP0026_CET_Scorecard.pdf,APP0026_10th_Marksheet.pdf,APP0026_12th_Diploma_Marksheet.pdf,APP0026_Leaving_Certificate.pdf,APP0026_Caste_Certificate.pdf,APP0026_Application_Form.pdf
APP0027,Ryan Bandi,Andrew Bandi,Harini Bandi,Male,2005-08-18,OPEN,61.89,2019,Diploma,74.24,2022,99.11,APP0027_CET_Scorecard.pdf,APP0027_10th_Marksheet.pdf,APP0027_12th_Diploma_Marksheet.pdf,APP0027_Leaving_Certificate.pdf,APP0027_Caste_Certificate.pdf,APP0027_Application_Form.pdf
APP0028,Laksh Bora,Nathaniel Bora,Lipika Bora,Male,2004-02-23,SC/ST,72.35,2019,12th,87.96,2020,66.8,APP0028_CET_Scorecard.pdf,APP0028_10th_Marksheet.pdf,APP0028_12th_Diploma_Marksheet.pdf,APP0028_Leaving_Certificate.pdf,APP0028_Caste_Certificate.pdf,APP0028_Application_Form.pdf
APP0029,Gautam Vyas,Om Vyas,Bhavya Vyas,Male,2006-07-07,OBC,62.58,2019,12th,83.32,2022,87.31,APP0029_CET_Scorecard.pdf,APP0029_10th_Marksheet.pdf,APP0029_12th_Diploma_Marksheet.pdf,APP0029_Leaving_Certificate.pdf,APP0029_Caste_Certificate.pdf,APP0029_Application_Form.pdf
APP0030,Banjeet Prashad,Balvan Prashad,Yutika Prashad,Male,2003-07-18,OPEN,97.2,2018,12th,65.93,2020,83.25,APP0030_CET_Scorecard.pdf,APP0030_10th_Marksheet.pdf,APP0030_12th_Diploma_Marksheet.pdf,APP0030_Leaving_Certificate.pdf,APP0030_Caste_Certificate.pdf,APP0030_Application_Form.pdf
APP0031,Dayamai Hans,Ranveer Hans,Ganga Hans,Female,2005-05-03,SC/ST,87.72,2019,12th,76.59,2022,84.06,APP0031_CET_Scorecard.pdf,APP0031_10th_Marksheet.pdf,APP0031_12th_Diploma_Marksheet.pdf,APP0031_Leaving_Certificate.pdf,APP0031_Caste_Certificate.pdf,APP0031_Application_Form.pdf
APP0032,Jackson Kibe,Shivansh Kibe,Priya Kibe,Male,2004-03-12,SC/ST,89.52,2018,12th,84.05,2020,70.06,APP0032_CET_Scorecard.pdf,APP0032_10th_Marksheet.pdf,APP0032_12th_Diploma_Marksheet.pdf,APP0032_Leaving_Certificate.pdf,APP0032_Caste_Certificate.pdf,APP0032_Application_Form.pdf
APP0033,Adweta Dua,Aarush Dua,Pavani Dua,Female,2005-07-19,OBC,83.01,2019,Diploma,87.56,2021,98.84,APP0033_CET_Scorecard.pdf,APP0033_10th_Marksheet.pdf,APP0033_12th_Diploma_Marksheet.pdf,APP0033_Leaving_Certificate.pdf,APP0033_Caste_Certificate.pdf,APP0033_Application_Form.pdf
APP0034,Jairaj Ahuja,Gopal Ahuja,Tamanna Ahuja,Male,2007-07-26,EWS,75.98,2018,12th,63.48,2020,93.37,APP0034_CET_Scorecard.pdf,APP0034_10th_Marksheet.pdf,APP0034_12th_Diploma_Marksheet.pdf,APP0034_Leaving_Certificate.pdf,APP0034_Caste_Certificate.pdf,APP0034_Application_Form.pdf
APP0035,Ranveer Ghosh,Harsh Ghosh,Tara Ghosh,Male,2007-05-15,OPEN,76.55,2019,12th,68.38,2021,81.54,APP0035_CET_Scorecard.pdf,APP0035_10th_Marksheet.pdf,APP0035_12th_Diploma_Marksheet.pdf,APP0035_Leaving_Certificate.pdf,APP0035_Caste_Certificate.pdf,APP0035_Application_Form.pdf
APP0036,Girik Ramanathan,Zaid Ramanathan,Bhavini Ramanathan,Male,2005-06-09,EWS,84.58,2019,12th,82.96,2020,95.5,APP0036_CET_Scorecard.pdf,APP0036_10th_Marksheet.pdf,APP0036_12th_Diploma_Marksheet.pdf,APP0036_Leaving_Certificate.pdf,APP0036_Caste_Certificate.pdf,APP0036_Application_Form.pdf
APP0037,Girindra Gupta,Harshil Gupta,Shivani Gupta,Male,2005-03-18,OBC,66.9,2018,12th,72.24,2022,73.83,APP0037_CET_Scorecard.pdf,APP0037_10th_Marksheet.pdf,APP0037_12th_Diploma_Marksheet.pdf,APP0037_Leaving_Certificate.pdf,APP0037_Caste_Certificate.pdf,APP0037_Application_Form.pdf
APP0038,Mason Aggarwal,Siddharth Aggarwal,Ekaja Aggarwal,Male,2006-01-27,OPEN,88.55,2018,12th,76.92,2020,61.25,APP0038_CET_Scorecard.pdf,APP0038_10th_Marksheet.pdf,APP0038_12th_Diploma_Marksheet.pdf,APP0038_Leaving_Certificate.pdf,APP0038_Caste_Certificate.pdf,APP0038_Application_Form.pdf
APP0039,Sanaya Pandya,Caleb Pandya,Priya Pandya,Female,2007-05-26,OPEN,66.86,2018,Diploma,56.18,2021,98.46,APP0039_CET_Scorecard.pdf,APP0039_10th_Marksheet.pdf,APP0039_12th_Diploma_Marksheet.pdf,APP0039_Leaving_Certificate.pdf,APP0039_Caste_Certificate.pdf,APP0039_Application_Form.pdf
APP0040,Finn Bail,Victor Bail,Vedika Bail,Male,2005-06-29,OPEN,61.62,2019,Diploma,61.09,2021,80.02,APP0040_CET_Scorecard.pdf,APP0040_10th_Marksheet.pdf,APP0040_12th_Diploma_Marksheet.pdf,APP0040_Leaving_Certificate.pdf,APP0040_Caste_Certificate.pdf,APP0040_Application_Form.pdf
APP0041,Finn Bera,Kai Bera,Netra Bera,Male,2005-05-18,OBC,83.71,2020,12th,87.7,2021,96.33,APP0041_CET_Scorecard.pdf,APP0041_10th_Marksheet.pdf,APP0041_12th_Diploma_Marksheet.pdf,APP0041_Leaving_Certificate.pdf,APP0041_Caste_Certificate.pdf,APP0041_Application_Form.pdf
APP0042,Abhiram Khosla,Patrick Khosla,Varenya Khosla,Male,2006-06-27,OPEN,75.39,2018,Diploma,79.64,2020,70.35,APP0042_CET_Scorecard.pdf,APP0042_10th_Marksheet.pdf,APP0042_12th_Diploma_Marksheet.pdf,APP0042_Leaving_Certificate.pdf,APP0042_Caste_Certificate.pdf,APP0042_Application_Form.pdf
APP0043,Alka Sankar,David Sankar,Unni Sankar,Female,2005-05-13,OPEN,94.6,2020,12th,69.52,2020,75.66,APP0043_CET_Scorecard.pdf,APP0043_10th_Marksheet.pdf,APP0043_12th_Diploma_Marksheet.pdf,APP0043_Leaving_Certificate.pdf,APP0043_Caste_Certificate.pdf,APP0043_Application_Form.pdf
APP0044,Tripti Wagle,Samesh Wagle,Divya Wagle,Female,2006-05-14,OBC,82.26,2019,12th,78.99,2021,82.31,APP0044_CET_Scorecard.pdf,APP0044_10th_Marksheet.pdf,APP0044_12th_Diploma_Marksheet.pdf,APP0044_Leaving_Certificate.pdf,APP0044_Caste_Certificate.pdf,APP0044_Application_Form.pdf
APP0045,Yutika Char,Ranveer Char,Raksha Char,Female,2006-12-09,OBC,64.47,2018,12th,65.15,2022,89.77,APP0045_CET_Scorecard.pdf,APP0045_10th_Marksheet.pdf,APP0045_12th_Diploma_Marksheet.pdf,APP0045_Leaving_Certificate.pdf,APP0045_Caste_Certificate.pdf,APP0045_Application_Form.pdf
APP0046,Urvi Kamdar,Hemang Kamdar,Amaira Kamdar,Female,2004-09-27,OPEN,85.6,2020,Diploma,78.85,2022,64.65,APP0046_CET_Scorecard.pdf,APP0046_10th_Marksheet.pdf,APP0046_12th_Diploma_Marksheet.pdf,APP0046_Leaving_Certificate.pdf,APP0046_Caste_Certificate.pdf,APP0046_Application_Form.pdf
APP0047,Laksh Raghavan,Hemang Raghavan,Ishanvi Raghavan,Male,2003-09-22,OBC,85.36,2018,12th,80.31,2022,70.05,APP0047_CET_Scorecard.pdf,APP0047_10th_Marksheet.pdf,APP0047_12th_Diploma_Marksheet.pdf,APP0047_Leaving_Certificate.pdf,APP0047_Caste_Certificate.pdf,APP0047_Application_Form.pdf
APP0048,Xalak Chatterjee,Mohammed Chatterjee,Diya Chatterjee,Female,2003-05-27,OPEN,76.48,2018,12th,83.8,2022,91.83,APP0048_CET_Scorecard.pdf,APP0048_10th_Marksheet.pdf,APP0048_12th_Diploma_Marksheet.pdf,APP0048_Leaving_Certificate.pdf,APP0048_Caste_Certificate.pdf,APP0048_Application_Form.pdf
APP0049,Simon Andra,Ryan Andra,Bhavini Andra,Male,2003-03-25,OPEN,94.32,2019,Diploma,80.84,2020,92.66,APP0049_CET_Scorecard.pdf,APP0049_10th_Marksheet.pdf,APP0049_12th_Diploma_Marksheet.pdf,APP0049_Leaving_Certificate.pdf,APP0049_Caste_Certificate.pdf,APP0049_Application_Form.pdf
APP0050,Eshana Thaman,Ishwar Thaman,Vasudha Thaman,Female,2003-03-30,EWS,88.25,2019,12th,58.0,2021,88.13,APP0050_CET_Scorecard.pdf,APP0050_10th_Marksheet.pdf,APP0050_12th_Diploma_Marksheet.pdf,APP0050_Leaving_Certificate.pdf,APP0050_Caste_Certificate.pdf,APP0050_Application_Form.pdf
APP0051,Lucky Pingle,Theodore Pingle,Isha Pingle,Male,2004-06-16,OPEN,89.12,2018,12th,72.41,2022,96.39,APP0051_CET_Scorecard.pdf,APP0051_10th_Marksheet.pdf,APP0051_12th_Diploma_Marksheet.pdf,APP0051_Leaving_Certificate.pdf,APP0051_Caste_Certificate.pdf,APP0051_Application_Form.pdf
APP0052,Logan Dara,Rayaan Dara,Zaitra Dara,Male,2006-05-14,OPEN,66.55,2018,Diploma,63.97,2021,79.93,APP0052_CET_Scorecard.pdf,APP0052_10th_Marksheet.pdf,APP0052_12th_Diploma_Marksheet.pdf,APP0052_Leaving_Certificate.pdf,APP0052_Caste_Certificate.pdf,APP0052_Application_Form.pdf
APP0053,Zaitra Kashyap,Orinder Kashyap,Oviya Kashyap,Female,2006-05-29,SC/ST,91.27,2019,12th,77.95,2022,77.61,APP0053_CET_Scorecard.pdf,APP0053_10th_Marksheet.pdf,APP0053_12th_Diploma_Marksheet.pdf,APP0053_Leaving_Certificate.pdf,APP0053_Caste_Certificate.pdf,APP0053_Application_Form.pdf
APP0054,Jeevika Karnik,Shivansh Karnik,Lekha Karnik,Female,2005-03-31,OBC,94.94,2020,Diploma,91.17,2022,85.91,APP0054_CET_Scorecard.pdf,APP0054_10th_Marksheet.pdf,APP0054_12th_Diploma_Marksheet.pdf,APP0054_Leaving_Certificate.pdf,APP0054_Caste_Certificate.pdf,APP0054_Application_Form.pdf
APP0055,Lavanya Saini,Victor Saini,Ishanvi Saini,Female,2007-06-05,SC/ST,96.43,2019,Diploma,77.43,2022,88.27,APP0055_CET_Scorecard.pdf,APP0055_10th_Marksheet.pdf,APP0055_12th_Diploma_Marksheet.pdf,APP0055_Leaving_Certificate.pdf,APP0055_Caste_Certificate.pdf,APP0055_Application_Form.pdf
APP0056,Timothy Seth,Abhimanyu Seth,Kamya Seth,Male,2006-01-30,SC/ST,96.81,2019,12th,74.28,2020,82.46,APP0056_CET_Scorecard.pdf,APP0056_10th_Marksheet.pdf,APP0056_12th_Diploma_Marksheet.pdf,APP0056_Leaving_Certificate.pdf,APP0056_Caste_Certificate.pdf,APP0056_Application_Form.pdf
APP0057,Damini Basu,Karan Basu,Gaurangi Basu,Female,2003-11-28,EWS,60.3,2019,Diploma,80.0,2021,77.97,APP0057_CET_Scorecard.pdf,APP0057_10th_Marksheet.pdf,APP0057_12th_Diploma_Marksheet.pdf,APP0057_Leaving_Certificate.pdf,APP0057_Caste_Certificate.pdf,APP0057_Application_Form.pdf
APP0058,Qabil Saraf,Manthan Saraf,Aarna Saraf,Male,2004-08-03,OBC,91.82,2018,Diploma,74.5,2021,93.13,APP0058_CET_Scorecard.pdf,APP0058_10th_Marksheet.pdf,APP0058_12th_Diploma_Marksheet.pdf,APP0058_Leaving_Certificate.pdf,APP0058_Caste_Certificate.pdf,APP0058_Application_Form.pdf
APP0059,Urishilla Patel,Frederick Patel,Yochana Patel,Female,2006-07-18,OPEN,80.0,2019,Diploma,91.9,2020,92.86,APP0059_CET_Scorecard.pdf,APP0059_10th_Marksheet.pdf,APP0059_12th_Diploma_Marksheet.pdf,APP0059_Leaving_Certificate.pdf,APP0059_Caste_Certificate.pdf,APP0059_Application_Form.pdf
APP0060,Samuel Hans,Abeer Hans,Bimala Hans,Male,2004-02-28,SC/ST,77.99,2018,Diploma,56.06,2022,63.38,APP0060_CET_Scorecard.pdf,APP0060_10th_Marksheet.pdf,APP0060_12th_Diploma_Marksheet.pdf,APP0060_Leaving_Certificate.pdf,APP0060_Caste_Certificate.pdf,APP0060_Application_Form.pdf
APP0061,Pranit Palan,Noah Palan,Warhi Palan,Male,2007-05-19,SC/ST,88.27,2018,12th,82.15,2022,96.41,APP0061_CET_Scorecard.pdf,APP0061_10th_Marksheet.pdf,APP0061_12th_Diploma_Marksheet.pdf,APP0061_Leaving_Certificate.pdf,APP0061_Caste_Certificate.pdf,APP0061_Application_Form.pdf
APP0062,Odika Khurana,Karan Khurana,Bhavini Khurana,Female,2004-04-30,OPEN,93.57,2018,12th,55.24,2021,70.93,APP0062_CET_Scorecard.pdf,APP0062_10th_Marksheet.pdf,APP0062_12th_Diploma_Marksheet.pdf,APP0062_Leaving_Certificate.pdf,APP0062_Caste_Certificate.pdf,APP0062_Application_Form.pdf
APP0063,Andrew Morar,Luke Morar,Saumya Morar,Male,2005-12-09,EWS,80.72,2018,12th,87.5,2021,78.37,APP0063_CET_Scorecard.pdf,APP0063_10th_Marksheet.pdf,APP0063_12th_Diploma_Marksheet.pdf,APP0063_Leaving_Certificate.pdf,APP0063_Caste_Certificate.pdf,APP0063_Application_Form.pdf
APP0064,Chakradhar Dixit,Dalbir Dixit,Vrishti Dixit,Male,2007-06-20,SC/ST,89.34,2019,12th,73.15,2020,90.96,APP0064_CET_Scorecard.pdf,APP0064_10th_Marksheet.pdf,APP0064_12th_Diploma_Marksheet.pdf,APP0064_Leaving_Certificate.pdf,APP0064_Caste_Certificate.pdf,APP0064_Application_Form.pdf
APP0065,Kabir Peri,Gunbir Peri,Geetika Peri,Male,2007-02-09,SC/ST,82.3,2020,Diploma,86.81,2021,97.94,APP0065_CET_Scorecard.pdf,APP0065_10th_Marksheet.pdf,APP0065_12th_Diploma_Marksheet.pdf,APP0065_Leaving_Certificate.pdf,APP0065_Caste_Certificate.pdf,APP0065_Application_Form.pdf
APP0066,Pranit Bala,Kiaan Bala,Chasmum Bala,Male,2003-01-17,OBC,81.59,2018,Diploma,68.74,2022,96.72,APP0066_CET_Scorecard.pdf,APP0066_10th_Marksheet.pdf,APP0066_12th_Diploma_Marksheet.pdf,APP0066_Leaving_Certificate.pdf,APP0066_Caste_Certificate.pdf,APP0066_Application_Form.pdf
APP0067,Nandini Deol,Baljiwan Deol,Indira Deol,Female,2006-04-19,OPEN,65.88,2018,Diploma,62.77,2021,80.51,APP0067_CET_Scorecard.pdf,APP0067_10th_Marksheet.pdf,APP0067_12th_Diploma_Marksheet.pdf,APP0067_Leaving_Certificate.pdf,APP0067_Caste_Certificate.pdf,APP0067_Application_Form.pdf
APP0068,Gaurangi Roy,Shivansh Roy,Tamanna Roy,Female,2003-03-27,OBC,69.74,2019,Diploma,93.42,2020,87.38,APP0068_CET_Scorecard.pdf,APP0068_10th_Marksheet.pdf,APP0068_12th_Diploma_Marksheet.pdf,APP0068_Leaving_Certificate.pdf,APP0068_Caste_Certificate.pdf,APP0068_Application_Form.pdf
APP0069,Samesh Chand,Yatin Chand,Amaira Chand,Male,2003-10-31,OBC,78.09,2018,12th,84.88,2020,82.5,APP0069_CET_Scorecard.pdf,APP0069_10th_Marksheet.pdf,APP0069_12th_Diploma_Marksheet.pdf,APP0069_Leaving_Certificate.pdf,APP0069_Caste_Certificate.pdf,APP0069_Application_Form.pdf
APP0070,Oni Atwal,Abdul Atwal,Wishi Atwal,Female,2005-07-10,SC/ST,88.64,2018,12th,66.14,2020,92.27,APP0070_CET_Scorecard.pdf,APP0070_10th_Marksheet.pdf,APP0070_12th_Diploma_Marksheet.pdf,APP0070_Leaving_Certificate.pdf,APP0070_Caste_Certificate.pdf,APP0070_Application_Form.pdf
APP0071,Lavanya Goswami,Yagnesh Goswami,Gauri Goswami,Female,2007-06-13,OPEN,87.16,2019,12th,93.4,2021,88.24,APP0071_CET_Scorecard.pdf,APP0071_10th_Marksheet.pdf,APP0071_12th_Diploma_Marksheet.pdf,APP0071_Leaving_Certificate.pdf,APP0071_Caste_Certificate.pdf,APP0071_Application_Form.pdf
APP0072,Shivani Ranganathan,Rudra Ranganathan,Jasmit Ranganathan,Female,2006-05-18,OBC,75.68,2020,Diploma,91.78,2022,62.4,APP0072_CET_Scorecard.pdf,APP0072_10th_Marksheet.pdf,APP0072_12th_Diploma_Marksheet.pdf,APP0072_Leaving_Certificate.pdf,APP0072_Caste_Certificate.pdf,APP0072_Application_Form.pdf
APP0073,Christopher Nazareth,Qarin Nazareth,Eta Nazareth,Male,2005-01-14,OBC,74.08,2019,12th,72.64,2022,71.59,APP0073_CET_Scorecard.pdf,APP0073_10th_Marksheet.pdf,APP0073_12th_Diploma_Marksheet.pdf,APP0073_Leaving_Certificate.pdf,APP0073_Caste_Certificate.pdf,APP0073_Application_Form.pdf
APP0074,Wishi Kunda,Advaith Kunda,Unnati Kunda,Female,2003-11-21,OPEN,94.6,2018,12th,92.26,2021,92.29,APP0074_CET_Scorecard.pdf,APP0074_10th_Marksheet.pdf,APP0074_12th_Diploma_Marksheet.pdf,APP0074_Leaving_Certificate.pdf,APP0074_Caste_Certificate.pdf,APP0074_Application_Form.pdf
APP0075,Urmi Gaba,Dakshesh Gaba,Widisha Gaba,Female,2003-04-11,OPEN,60.85,2019,12th,68.35,2020,61.35,APP0075_CET_Scorecard.pdf,APP0075_10th_Marksheet.pdf,APP0075_12th_Diploma_Marksheet.pdf,APP0075_Leaving_Certificate.pdf,APP0075_Caste_Certificate.pdf,APP0075_Application_Form.pdf
APP0076,Balveer Mallick,Girik Mallick,Harita Mallick,Male,2006-06-13,SC/ST,93.55,2019,Diploma,91.51,2020,91.87,APP0076_CET_Scorecard.pdf,APP0076_10th_Marksheet.pdf,APP0076_12th_Diploma_Marksheet.pdf,APP0076_Leaving_Certificate.pdf,APP0076_Caste_Certificate.pdf,APP0076_Application_Form.pdf
